"","URLs","year","IslamWords","totals","anxioutyWords","chappwords","DHSWords","ReligLWICwords","optwords","frequency_anxiouty","frequency_chapp","frequency_religLWIC","frequency_reli_Lwicnoislam","frequency_dhs","frequency_islam","frequency_opt","state","globalterrorism","abbr","femadec","terroristattack","bioguide","end_last_term","first","last","religion","unafilated","other","jew","mormon","othodoxchristain","protestantdemonation","catholic","aa","hisp","id","icpsr","thomas","govtrack","cong","gender","type","start","end","district","class","party","dw1","comc","comr","leadcham","simpleparty","dwisest","manualcorrection","scomc","scomr","percentwhite","pres2","veryconservative","don'tattendchurch","don'tpray","unemploy","nonwhite","abrvState","catholic_state","jewish_state","evang_state","orthodox_state","bkprot_state","mainline_state","conservative.non.traditional_state","liberal.protestant_state","secular_state","veryReligous","upforElection","Female","Republican","frequency_chapp_lag1","frequency_religLWIC_lag1","frequency_anxiouty_lag1","frequency_opt_lag1","terroristattack_lag1","frequency_dhs_lag1","femadec_lag1","upforElection_lag1"
"baucus-2010","baucus","2010",0,766158,499,292,2232,286,1796,0.000651302689729795,0.000381123431665531,0.000373292148823089,1.48722476150231e-09,0.00291323821738858,1e-09,0.00234416499750443,"Montana",4805,"MT",3,0,"B000243","2/6/14","Max","Baucus","United Church of Christ",0,0,0,0,0,1,0,0,0,166,"14203",66,300005,111,"M","sen","1/6/09","1/3/15",0,2,"Democrat",-0.194,1,0,0,"D","NULL","NULL","1","0",0.9038461,3.038461,3.51282,3.690323,3.089744,7.7,0,"mt",15.74327469,0.095833384,10.98834229,0,0.053812895,12.2725935,3.58168602,0.027281886,57.29421234,0.48,0,0,0,0.000935133120466172,0.000903881918496865,0.000545695065156352,0.00234384114769799,0,0.00271885557132967,4,1
"baucus-2012","baucus","2012",1,1360236,695,585,5206,571,3059,0.000510941748517169,0.000430073428607977,0.000419781096983171,-7.33857936345617e-07,0.00382727803133868,7.3616654462902e-07,0.00224887546002017,"Montana",8481,"MT",7,0,"B000243","2/6/14","Max","Baucus","United Church of Christ",0,0,0,0,0,1,0,0,0,165,"14203",66,300005,112,"M","sen","1/6/09","1/3/15",0,2,"Democrat",-0.186,1,0,0,"D","NULL","NULL","1","0",0.9352227,2.910569,3.489879,4.126016,3.378049,6.1,0,"mt",15.74327469,0.095833384,10.98834229,0,0.053812895,12.2725935,3.58168602,0.027281886,57.29421234,0.48,0,0,0,0.000381123431665531,0.000373292148823089,0.000651302689729795,0.00234416499750443,0,0.00291323821738858,3,0
"bayh-2008","bayh","2008",43,1997125,1855,624,11450,863,3921,0.000928836200600864,0.000312450145646867,0.000432122174187895,-2.15297343700699e-05,0.00573324253470614,2.15319507416912e-05,0.00196332327577142,"Indiana",4785,"IN",109,0,"B001233","1/3/11","Evan","Bayh","Episcopalian",0,0,0,0,0,1,0,0,0,8623,"49901",1572,300006,110,"M","sen","1/4/05","12/22/10",0,3,"Democrat",-0.149,0,0,0,"D","NULL","NULL","0","0",0.905303,3.112658,3.544192,3.498104,2.911765,6,0,"in",12.61125469,0.366403639,18.16075325,0,2.991328239,12.95188332,0.376991361,0.054922666,52.47537231,0.54,0,0,0,8.11294973988176e-05,0.0001749343225162,0.00130312748946851,0.00235272742456571,0,0.00569420741117951,3,0
"bayh-2010","bayh","2010",74,4308552,3877,1977,22111,2183,8181,0.000899839275132806,0.000458855854252658,0.000506667740937559,-1.71740261649991e-05,0.00513188753635839,1.71761437605952e-05,0.00189878277169499,"Indiana",4805,"IN",0,0,"B001233","1/3/11","Evan","Bayh","Episcopalian",0,0,0,0,0,1,0,0,0,8624,"49901",1572,300006,111,"M","sen","1/4/05","12/22/10",0,3,"Democrat",-0.11,0,0,0,"D","NULL","NULL","0","0",0.8265139,2.957377,3.661211,3.60802,2.967267,10.6,0,"in",12.61125469,0.366403639,18.16075325,0,2.991328239,12.95188332,0.376991361,0.054922666,52.47537231,0.54,1,0,0,0.000312450145646867,0.000432122174187895,0.000928836200600864,0.00196332327577142,0,0.00573324253470614,109,0
"begich-2012","begich","2012",2,4767853,1494,511,9141,794,24389,0.000313349586879671,0.000107177123089365,0.000166532979907938,-4.18441091833178e-07,0.00191721614904088,4.20476019919238e-07,0.00511530132490515,"Alaska",8481,"AK",6,0,"B001265","1/3/15","Mark","Begich","Catholic",0,0,0,0,0,0,1,0,0,167,"40900",1898,412326,112,"M","sen","1/6/09","1/3/15",0,2,"Democrat",-0.278,0,0,0,"D","NULL","NULL","0","0",0.7421875,2.929688,3.4375,4.102362,3.708661,7.4,0,"ak",8.218084335,0,14.30106354,0,1.071916223,5.736642361,2.863594294,0.049268875,67.75942993,0.45,0,0,0,0.000329167958644828,0.000397398644750479,0.00054308037994903,0.00147157093276511,0,0.00277901840435717,0,0
"bennet-2012","bennet","2012",0,2562171,1620,810,7663,1061,5705,0.000632277300059598,0.000316139150029799,0.000414102947137798,1.1616215104838e-09,0.00299082401688685,1e-09,0.00222662834064198,"Colorado",8481,"CO",7,0,"B001267","1/3/23","Michael","Bennet","Unafilated",1,0,0,0,0,0,0,0,0,492,"40910",1965,412330,112,"M","sen","1/5/11","1/3/17",0,3,"Democrat",-0.248,0,0,0,"D","NULL","NULL","NULL","NULL",0.7985758,2.801223,3.352342,4.147508,3.575356,8.1,0,"co",14.65799141,1.473715663,11.2502327,0,1.069179893,8.61615181,2.134322643,0.088665776,60.70973969,0.47,0,0,0,0.000581100961895085,0.000640072854983579,0.000363358587414491,0.00121164658799514,1,0.00178866388036871,2,1
"bennett-2008","bennett","2008",4,2661753,1761,2898,7339,3212,5500,0.000661595069772815,0.00108875716933652,0.00120672453896098,-1.50131568310848e-06,0.00275720649577666,1.50376903980197e-06,0.0020663084297277,"Utah",4785,"UT",0,0,"B000382","1/3/11","Robert","Bennett","Mormon",0,0,0,1,0,0,0,0,0,8634,"49307",1280,300007,110,"M","sen","1/4/05","12/22/10",0,3,"Republican",0.349,0,1,0,"R","NULL","NULL","0","1",0.8885449,2.968847,3.681114,3.130031,2.674121,3.5,0,"ut",3.849203348,0.171227902,2.214528322,0,0.181907892,1.541399479,71.75563812,0.043300346,20.24279594,0.64,0,0,1,0.000835998912729324,0.000932250663724228,0.000542400804348642,0.00240024120562764,0,0.00305039454253662,0,0
"bennett-2010","bennett","2010",7,2639196,1962,1898,6132,2211,5869,0.000743409219776023,0.000719159410364369,0.00083775613451824,-2.65100547623802e-06,0.00232343586425411,2.65332290439967e-06,0.0022237843037031,"Utah",4805,"UT",1,2,"B000382","1/3/11","Robert","Bennett","Mormon",0,0,0,1,0,0,0,0,0,8635,"49307",1280,300007,111,"M","sen","1/4/05","12/22/10",0,3,"Republican",0.352,0,1,0,"R","NULL","NULL","0","1",0.8622449,3.102041,3.589286,3.091837,2.688776,8.2,0,"ut",3.849203348,0.171227902,2.214528322,0,0.181907892,1.541399479,71.75563812,0.043300346,20.24279594,0.64,1,0,1,0.00108875716933652,0.00120672453896098,0.000661595069772815,0.0020663084297277,0,0.00275720649577666,0,0
"biden-2008","biden","2008",3576,9072655,10047,7290,41975,11640,22045,0.00110739459096097,0.00080351441476117,0.00128297715196434,-0.000394150294965349,0.00462654086071332,0.000394152436376673,0.00242982997509053,"Delaware",4785,"DE",0,0,"B000444","1/15/09","Joseph","Biden","Catholic",0,0,0,0,0,0,1,0,0,9656,"14101",1284,300008,110,"M","sen","1/7/03","1/3/09",0,2,"Democrat",-0.284,1,0,0,"D","NULL","NULL","1","0",0.736,3.176,3.48,3.944,3.180328,5,0,"de",17.46421242,1.426066756,5.658032417,0,6.011847019,14.7925148,0.418212831,0.218113154,54.01100159,0.52,1,0,0,0.000858224563308304,0.00112302751622615,0.0010521014956213,0.00254603928582849,0,0.00527734606875146,1,0
"bingaman-2008","bingaman","2008",46,3470196,1029,1671,13833,1319,4901,0.000296526037778846,0.00048152999720938,0.000380094804499804,-1.32546258799778e-05,0.00398623117258967,1.32567354109105e-05,0.00141231315758418,"New Mexico",4785,"NM",4,1,"B000468","1/3/13","Jeff","Bingaman","Methodist",0,0,0,0,0,1,0,0,0,10291,"14912",1285,300009,110,"M","sen","1/4/07","1/3/13",0,1,"Democrat",-0.34,1,0,0,"D","NULL","NULL","1","0",0.6615385,3.184615,3.361538,3.723077,3.338521,4.4,0,"nm",30.8471756,0.40097183,17.73780632,0,0.465061337,6.555807114,2.602455616,0.087586768,41.30313492,0.57,0,0,0,0.000168507192602578,0.000207063694299778,0.000705442179200624,0.00166078661014236,0,0.00292601107324307,27,1
"bingaman-2010","bingaman","2010",77,8903124,2851,3263,36013,3695,11599,0.000320225676192312,0.000366501567665911,0.000415023861638229,-8.64760300464627e-06,0.00404498565931734,8.64964962006595e-06,0.00130280212913175,"New Mexico",4805,"NM",9,0,"B000468","1/3/13","Jeff","Bingaman","Methodist",0,0,0,0,0,1,0,0,0,10292,"14912",1285,300009,111,"M","sen","1/4/07","1/3/13",0,1,"Democrat",-0.346,1,0,0,"D","NULL","NULL","1","0",0.7122642,2.869976,3.337264,3.85849,3.148585,8.5,0,"nm",30.8471756,0.40097183,17.73780632,0,0.465061337,6.555807114,2.602455616,0.087586768,41.30313492,0.57,0,0,0,0.00048152999720938,0.000380094804499804,0.000296526037778846,0.00141231315758418,1,0.00398623117258967,4,0
"bingaman-2012","bingaman","2012",9,5281767,2508,1377,17459,1484,10224,0.000474842090112457,0.000260709206174184,0.000280967578041023,-1.70292200818816e-06,0.00330552356470231,1.70497520375283e-06,0.00193571683146322,"New Mexico",8481,"NM",10,0,"B000468","1/3/13","Jeff","Bingaman","Methodist",0,0,0,0,0,1,0,0,0,10290,"14912",1285,300009,112,"M","sen","1/4/07","1/3/13",0,1,"Democrat",-0.353,1,0,0,"D","NULL","NULL","1","0",0.7197309,2.773034,3.352809,3.972973,3.444944,7.1,0,"nm",30.8471756,0.40097183,17.73780632,0,0.465061337,6.555807114,2.602455616,0.087586768,41.30313492,0.57,1,0,0,0.000366501567665911,0.000415023861638229,0.000320225676192312,0.00130280212913175,0,0.00404498565931734,9,0
"bond-2008","bond","2008",1107,4002775,5619,1951,16143,3213,10678,0.0014037771303096,0.000487412858023496,0.000802694131639925,-0.000276556937257745,0.00403295313945326,0.000276559137791907,0.00266765031828544,"Missouri",4785,"MO",218,2,"B000611","1/3/11","Christopher","Bond","Presbyterian",0,0,0,0,0,1,0,0,0,8670,"15501",1286,300010,110,"M","sen","1/4/05","12/22/10",0,3,"Republican",0.314,0,1,0,"R","NULL","NULL","0","1",0.911007,3.137163,3.4274,3.5726,3.211584,6.1,0,"mo",15.67464447,0.664534092,25.92865181,0,3.30956769,11.00644875,0.544784069,0.048641089,42.44971848,0.6,0,0,1,0.00071615525552105,0.000772316622233084,0.00109495399099946,0.00269381000332553,0,0.0046226624600561,71,0
"bond-2010","bond","2010",1575,9174836,14235,5419,33879,7080,23648,0.00155152737060761,0.000590638260437135,0.000771676918784815,-0.000171664109689599,0.00369260106391395,0.00017166619379747,0.00257748576376035,"Missouri",4805,"MO",37,0,"B000611","1/3/11","Christopher","Bond","Presbyterian",0,0,0,0,0,1,0,0,0,8671,"15501",1286,300010,111,"M","sen","1/4/05","12/22/10",0,3,"Republican",0.317,0,1,0,"R","NULL","NULL","0","1",0.8347965,2.91207,3.548722,3.581804,2.780527,9.5,0,"mo",15.67464447,0.664534092,25.92865181,0,3.30956769,11.00644875,0.544784069,0.048641089,42.44971848,0.6,1,0,1,0.000487412858023496,0.000802694131639925,0.0014037771303096,0.00266765031828544,2,0.00403295313945326,218,0
"brown-2010","brown","2010",0,8923328,5082,2479,28469,2831,11273,0.000569519457687535,0.000277812148486305,0.00031725931438674,1.03555381068439e-09,0.00319040260800993,1e-09,0.00126331890112389,"Ohio",4805,"OH",0,0,"B000944","1/3/19","Sherrod","Brown","Lutheran",0,0,0,0,0,1,0,0,0,10,"29389",136,400050,111,"M","sen","1/4/07","1/3/13",0,1,"Democrat",-0.501,0,0,0,"D","NULL","NULL","0","0",0.8373848,2.898071,3.446309,3.707879,3.07083,10.1,0,"oh",19.74513054,1.150831342,10.65159702,0,3.93164444,14.29646492,0.285596669,0.060209557,49.87026596,0.58,0,0,0,0.00028378099893891,0.000358633114601057,0.00074769960589991,0.00130909047336601,0,0.00288139617763188,53,0
"brown-2012","brown","2012",0,1228547,312,176,2568,245,1167,0.000253959538012791,0.000143259662468754,0.00019942356991389,1.16232392404514e-09,0.00209027512056682,1e-09,0.000949903608528611,"Ohio",8481,"OH",127,1,"B000944","1/3/19","Sherrod","Brown","Lutheran",0,0,0,0,0,1,0,0,0,8,"29389",136,400050,112,"M","sen","1/4/07","1/3/13",0,1,"Democrat",-0.501,0,0,0,"D","NULL","NULL","0","0",0.810025,2.667001,3.384847,3.876382,3.17328,7.2,0,"oh",19.74513054,1.150831342,10.65159702,0,3.93164444,14.29646492,0.285596669,0.060209557,49.87026596,0.58,1,0,0,0.000277812148486305,0.00031725931438674,0.000569519457687535,0.00126331890112389,0,0.00319040260800993,0,0
"brownback-2008","brownback","2008",123,1613142,1816,2706,6475,2753,3513,0.00112575434347503,0.0016774726670944,0.00170660835384734,-7.62466542007127e-05,0.00401390678138812,7.62497121406547e-05,0.00217773860772455,"Kansas",4785,"KS",123,0,"B000953","1/3/11","Samuel","Brownback","Catholic",0,0,0,0,0,0,1,0,0,8688,"29523",137,300013,110,"M","sen","1/4/05","12/22/10",0,3,"Republican",0.426,0,1,0,"R","NULL","NULL","0","1",0.9012048,3.130121,3.554217,3.550725,2.893462,4.5,0,"ks",14.9033289,0.366403639,18.74059105,0,1.652140379,18.29285431,0.683773696,0.034711376,45.323246,0.55,0,0,1,0.0015661159822443,0.00156270675235098,0.00126823452031539,0.00236046654738808,0,0.00404419996095196,20,0
"brownback-2010","brownback","2010",679,5129096,6653,6896,20505,7628,12257,0.0012971106661088,0.00134448743581637,0.00148720264333052,-0.000132380712644559,0.00399778150557057,0.000132383002598509,0.00238970086134009,"Kansas",4805,"KS",92,0,"B000953","1/3/11","Samuel","Brownback","Catholic",0,0,0,0,0,0,1,0,0,8689,"29523",137,300013,111,"M","sen","1/4/05","12/22/10",0,3,"Republican",0.42,0,0,0,"R","NULL","NULL","0","0",0.8504505,2.918772,3.491892,3.592058,2.906306,7.4,0,"ks",14.9033289,0.366403639,18.74059105,0,1.652140379,18.29285431,0.683773696,0.034711376,45.323246,0.55,1,0,1,0.0016774726670944,0.00170660835384734,0.00112575434347503,0.00217773860772455,0,0.00401390678138812,123,0
"bunning-2008","bunning","2008",251,2688015,3049,2722,11508,3661,6580,0.00113429526547099,0.00101264415861333,0.00136197256637891,-9.33759484279045e-05,0.0042812271092293,9.33784551109276e-05,0.00244790400649364,"Kentucky",4785,"KY",73,0,"B001066","1/3/11","Jim","Bunning","Catholic",0,0,0,0,0,0,1,0,0,8700,"15406",146,300014,110,"M","sen","1/4/05","12/22/10",0,3,"Republican",0.649,0,0,0,"R","NULL","NULL","0","0",0.9334764,3.141631,3.603004,3.563441,3.568627,6.3,0,"ky",9.911551476,0.366403639,35.23502731,0,4.169380188,10.3367815,0.368654251,0.026347952,39.55039215,0.63,0,0,1,0.00136044684569309,0.00137376589593065,0.00107313590485441,0.00238601371398481,0,0.00442382840033069,0,0
"bunning-2010","bunning","2010",204,3811709,3650,3114,14845,3768,7853,0.000957576722595823,0.000816957383606409,0.000988533965134537,-5.35180413190081e-05,0.00389457952107808,5.35203006601501e-05,0.00206023172590274,"Kentucky",4805,"KY",91,0,"B001066","1/3/11","Jim","Bunning","Catholic",0,0,0,0,0,0,1,0,0,8701,"15406",146,300014,111,"M","sen","1/4/05","12/22/10",0,3,"Republican",0.665,0,0,0,"R","NULL","NULL","0","0",0.8575198,2.981506,3.534301,3.477572,2.824306,10.3,0,"ky",9.911551476,0.366403639,35.23502731,0,4.169380188,10.3367815,0.368654251,0.026347952,39.55039215,0.63,1,0,1,0.00101264415861333,0.00136197256637891,0.00113429526547099,0.00244790400649364,0,0.0042812271092293,73,0
"burr-2008","burr","2008",0,556429,245,788,2765,787,1195,0.000440308748158345,0.00141617449203582,0.00141437731755354,3.54188102624691e-09,0.00496918844350133,1e-09,0.00214762450632336,"North Carolina",4785,"NC",7,0,"B001135","1/3/23","Richard","Burr","Presbyterian",0,0,0,0,0,1,0,0,0,629,"29548",153,400054,110,"M","sen","1/4/05","12/22/10",0,3,"Republican",0.553,0,1,0,"R","NULL","NULL","0","1",0.8214665,3.129649,3.479277,3.335813,3.056806,6.4,0,"nc",2.255109072,0.095833384,28.55709267,0,11.69890594,16.50942802,0.499031693,0.056074876,39.98882294,0.65,0,0,1,0.00172022917781437,0.00172939883761083,0.000276924725852847,0.00189445271394696,1,0.00576129825011072,0,0
"burr-2010","burr","2010",0,769428,513,470,2342,535,1240,0.000666730050671408,0.00061084437975743,0.000695322719511117,1.90368653013813e-09,0.00304382056466362,1e-09,0.00161158778914726,"North Carolina",4805,"NC",58,0,"B001135","1/3/23","Richard","Burr","Presbyterian",0,0,0,0,0,1,0,0,0,630,"29548",153,400054,111,"M","sen","1/4/05","12/22/10",0,3,"Republican",0.553,0,1,0,"R","NULL","NULL","0","1",0.7191517,2.83269,3.521851,3.42701,2.764175,10.5,0,"nc",2.255109072,0.095833384,28.55709267,0,11.69890594,16.50942802,0.499031693,0.056074876,39.98882294,0.65,1,0,1,0.00141617449203582,0.00141437731755354,0.000440308748158345,0.00214762450632336,0,0.00496918844350133,7,0
"burr-2012","burr","2012",1,437475,342,381,1353,501,780,0.000781759957654723,0.000870907908966227,0.00114520929761701,-2.28222713687041e-06,0.00309274915703754,2.28684490542317e-06,0.00178296002623007,"North Carolina",8481,"NC",0,0,"B001135","1/3/23","Richard","Burr","Presbyterian",0,0,0,0,0,1,0,0,0,631,"29548",153,400054,112,"M","sen","1/5/11","1/3/17",0,3,"Republican",0.553,0,1,0,"R","NULL","NULL","0","1",0.689554,2.612221,3.454225,3.592244,2.895294,9.2,0,"nc",2.255109072,0.095833384,28.55709267,0,11.69890594,16.50942802,0.499031693,0.056074876,39.98882294,0.65,0,0,1,0.00061084437975743,0.000695322719511117,0.000666730050671408,0.00161158778914726,0,0.00304382056466362,58,1
"byrd-2008","byrd","2008",64,1089800,1872,1704,5268,2124,2171,0.00171774737548174,0.00156359064947697,0.0019489824644889,-5.87235834268081e-05,0.00483391547972105,5.87273718113415e-05,0.00199210964378785,"West Virginia",4785,"WV",18,0,"B001210","6/28/10","Robert","Byrd","Baptist",0,0,0,0,0,0,0,0,0,9150,"1366",1299,300016,110,"M","sen","1/4/07","6/28/10",0,1,"Democrat",-0.39,1,0,0,"D","NULL","NULL","1","0",0.9352227,3.145749,3.635628,3.384615,3.126531,4.4,0,"wv",6.051318169,0.121607356,18.25309181,0,1.233525753,15.24000549,0.451357901,0.013995161,58.62796021,0.69,0,0,0,0.00137191657349985,0.00169106006462856,0.00171213557819367,0.00203529345285859,0,0.00482729720229282,0,1
